top_k,centroid_sim,recall_70,precision_70,f1_70,recall_80,precision_80,f1_80,recall_90,precision_90,f1_90
1,0.6689,0.1758,0.4931,0.2246,0.0834,0.3264,0.1141,0.0438,0.1875,0.0579
5,0.7523,0.538,0.5191,0.416,0.32,0.3467,0.2391,0.1848,0.201,0.121
10,0.7579,0.6658,0.5226,0.4717,0.4484,0.3484,0.2786,0.302,0.1976,0.1452
20,0.7614,0.7421,0.5237,0.5064,0.5516,0.3476,0.3143,0.3942,0.1955,0.1695
50,0.7652,0.8266,0.5251,0.5424,0.643,0.3478,0.3426,0.5075,0.1937,0.1902
100,0.7679,0.8743,0.5254,0.5576,0.731,0.3477,0.3646,0.6053,0.193,0.2027
