top_k,centroid_sim,recall_70,precision_70,f1_70,recall_80,precision_80,f1_80,recall_90,precision_90,f1_90
1,0.8719,0.9853,1.0,0.9917,0.6435,0.9097,0.7105,0.0675,0.3125,0.0969
5,0.9112,0.9973,0.9958,0.996,0.9348,0.9169,0.9027,0.3177,0.3096,0.2191
10,0.9136,0.9987,0.9959,0.9968,0.9594,0.9172,0.9148,0.4873,0.3112,0.2745
20,0.9152,0.9987,0.9959,0.9968,0.98,0.9175,0.9259,0.6476,0.3131,0.3169
50,0.9169,0.9987,0.9959,0.9968,0.9893,0.9181,0.9311,0.7681,0.3123,0.3457
100,0.9181,0.9987,0.9959,0.9968,0.9953,0.9182,0.9344,0.8393,0.3133,0.3628
