top_k,centroid_sim,recall_70,precision_70,f1_70,recall_80,precision_80,f1_80,recall_90,precision_90,f1_90
1,0.5744,0.2315,0.6691,0.2998,0.2252,0.6691,0.2944,0.2251,0.6691,0.2941
5,0.6879,0.3891,0.6256,0.439,0.3709,0.6174,0.4237,0.3685,0.6123,0.4201
10,0.696,0.4028,0.6133,0.4449,0.3871,0.6041,0.4313,0.3857,0.5991,0.4286
20,0.6986,0.4094,0.6106,0.4471,0.3925,0.6007,0.433,0.3911,0.5959,0.4302
50,0.7008,0.4151,0.6096,0.4507,0.3965,0.5998,0.4351,0.3954,0.5949,0.4325
100,0.7015,0.4164,0.6092,0.4515,0.3979,0.5994,0.4357,0.3963,0.5945,0.433
