top_k,centroid_sim,recall_70,precision_70,f1_70,recall_80,precision_80,f1_80,recall_90,precision_90,f1_90
1,0.9091,0.9048,0.9931,0.932,0.6205,0.9444,0.7042,0.3259,0.8542,0.4101
5,0.9601,0.9783,0.9942,0.9851,0.8625,0.9537,0.8967,0.5487,0.8025,0.6198
10,0.963,0.9873,0.9944,0.9904,0.8928,0.9526,0.9149,0.5912,0.7922,0.6485
20,0.9635,0.9894,0.9944,0.9916,0.909,0.9521,0.921,0.6205,0.7896,0.6646
50,0.9637,0.9911,0.9944,0.9926,0.925,0.9522,0.93,0.6373,0.7898,0.6736
100,0.9638,0.9914,0.9944,0.9928,0.9284,0.9522,0.9318,0.6429,0.7897,0.6766
