top_k,centroid_sim,recall_70,precision_70,f1_70,recall_80,precision_80,f1_80,recall_90,precision_90,f1_90
1,0.9369,0.9947,1.0,0.9972,0.8837,1.0,0.9306,0.3308,0.8542,0.4259
5,0.9731,0.9986,1.0,0.9993,0.9666,0.9999,0.9815,0.6474,0.8556,0.7038
10,0.9751,0.9986,1.0,0.9993,0.9745,0.9996,0.9861,0.6915,0.8445,0.7336
20,0.9754,0.9986,1.0,0.9993,0.9834,0.9995,0.9907,0.7195,0.8421,0.7474
50,0.9756,0.9986,1.0,0.9993,0.9857,0.9995,0.992,0.7407,0.8428,0.7583
100,0.9757,0.9986,1.0,0.9993,0.9858,0.9995,0.9921,0.7468,0.843,0.7615
