top_k,centroid_sim,recall_70,precision_70,f1_70,recall_80,precision_80,f1_80,recall_90,precision_90,f1_90
1,0.2689,0.0291,0.0833,0.0345,0.0288,0.0833,0.034,0.0287,0.0764,0.0339
5,0.3531,0.1691,0.073,0.0588,0.1605,0.0712,0.0567,0.1593,0.0629,0.0542
10,0.3606,0.2347,0.067,0.0646,0.2194,0.0654,0.0618,0.2181,0.0565,0.0581
20,0.3644,0.3163,0.0617,0.0646,0.2936,0.0589,0.0611,0.2913,0.0502,0.0569
50,0.3682,0.4364,0.056,0.0651,0.4065,0.0534,0.0612,0.4,0.0447,0.0551
100,0.3701,0.5316,0.0528,0.0643,0.4956,0.0501,0.0601,0.4891,0.0414,0.0539
